Testing Data Season,None,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9to10,0.68421,-0.08421000000000001,-0.01754,-0.09329999999999994,-0.052629999999999955,-0.09329999999999994,-0.06516,-0.08421000000000001,-0.03420999999999996,-0.06516,-0.052629999999999955,0.0,-0.01754,0.01578999999999997,-0.03420999999999996,-0.06516,-0.03420999999999996,-0.03420999999999996,-0.03420999999999996,-0.052629999999999955,-0.03420999999999996,-0.052629999999999955,-0.09329999999999994,-0.03420999999999996
10to11,0.85714,-0.04464000000000001,-0.05713999999999997,-0.04464000000000001,0.05953000000000008,-0.07143,0.0,-0.05713999999999997,-0.05713999999999997,-0.05713999999999997,-0.05713999999999997,-0.04464000000000001,-0.04464000000000001,0.0,-0.04464000000000001,-0.04464000000000001,-0.15125999999999995,-0.04464000000000001,-0.04464000000000001,0.0,0.0,-0.09243000000000001,0.0,0.0
11to12,0.56,0.016919999999999935,0.0024999999999999467,0.10666999999999993,0.05110999999999999,0.12749999999999995,0.10666999999999993,0.016919999999999935,0.059049999999999936,0.059049999999999936,0.10666999999999993,0.12749999999999995,0.059049999999999936,0.016919999999999935,0.10666999999999993,0.016919999999999935,0.023329999999999962,0.20922999999999992,0.10666999999999993,-0.030590000000000006,0.15428999999999993,-0.06000000000000005,0.12181999999999993,0.023329999999999962
12to13,0.66667,0.14583000000000002,0.10255999999999998,0.06666000000000005,0.08333000000000002,0.09804000000000002,0.08333000000000002,0.06666000000000005,0.047619999999999996,0.09804000000000002,0.09804000000000002,0.0,0.09804000000000002,0.14583000000000002,0.03921000000000008,0.06666000000000005,0.020830000000000015,0.09804000000000002,0.08333000000000002,-0.07843,0.025639999999999996,0.13333000000000006,0.13333000000000006,0.06666000000000005
13to14,0.73333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04583000000000004,0.0,0.0,-0.08626999999999996,0.0,0.0,0.0,-0.011110000000000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14to15,0.75,0.0,0.039470000000000005,0.039470000000000005,0.0,0.0,0.039470000000000005,0.039470000000000005,0.0,0.0,0.039470000000000005,0.050000000000000044,0.0,0.039470000000000005,-0.06818000000000002,0.039470000000000005,0.039470000000000005,0.039470000000000005,-0.11363999999999996,0.039470000000000005,-0.03571000000000002,0.0,0.039470000000000005,-0.03571000000000002
15to16,0.5,0.02173999999999998,0.04544999999999999,-0.02173999999999998,0.0,0.0,0.023809999999999998,0.02173999999999998,0.0,0.0,0.0,0.0,0.0,0.023809999999999998,0.0,0.02173999999999998,0.023809999999999998,0.02173999999999998,0.13158000000000003,0.02173999999999998,0.0,0.0,0.023809999999999998,0.02173999999999998
16to17,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053570000000000007,0.0,0.0,-0.06943999999999995,0.0,-0.025000000000000022,0.0,0.0
17to18,0.66667,-0.047619999999999996,-0.047619999999999996,-0.030309999999999948,-0.047619999999999996,-0.030309999999999948,0.01754,0.01754,-0.030309999999999948,-0.016669999999999963,0.01754,-0.16666999999999998,0.0,-0.019609999999999905,-0.030309999999999948,-0.019609999999999905,-0.030309999999999948,-0.030309999999999948,0.01754,0.0,0.01754,0.03921000000000008,-0.047619999999999996,-0.030309999999999948
Average Difference, ,0.001,0.008,0.003,0.01,0.003,0.023,0.002,-0.007,0.002,0.017,-0.013,0.011,0.025,-0.003,0.0,-0.018,0.029,0.016,-0.019,0.014,-0.006,0.02,0.001
