Rk,Team,Age,MOV,SOS,Pace,Attend./G
1,Golden State Warriors,28.2,11.63,-0.28,99.8,19596
2,San Antonio Spurs,29.6,7.2,-0.06,94.2,18423
3,Houston Rockets,27.4,5.77,0.08,100,16973
4,Los Angeles Clippers,30,4.29,0.13,96.1,19088
5,Utah Jazz,26.8,3.94,0.06,91.6,19662
6,Toronto Raptors,26.1,4.21,-0.56,94.7,19830
7,Cleveland Cavaliers,29.2,3.18,-0.31,96.2,20562
8,Boston Celtics,25.9,2.63,-0.39,96.8,18553
9,Washington Wizards,26,1.8,-0.45,97.4,17003
10,Oklahoma City Thunder,24.7,0.76,0.39,97.8,18203
11,Memphis Grizzlies,29.5,0.49,0.47,92.3,16520
12,Miami Heat,26.5,1.06,-0.29,95.2,19644
13,Denver Nuggets,25.2,0.51,0.19,98.3,14672
14,Chicago Bulls,26.9,0.43,-0.39,95.3,21680
15,Charlotte Hornets,26.5,0.2,-0.26,95.7,17333
16,Portland Trail Blazers,24.8,-0.52,0.3,96.7,19318
17,Milwaukee Bucks,25.6,-0.18,-0.26,94.5,15828
18,Indiana Pacers,27,-0.22,-0.42,95.9,16697
19,Minnesota Timberwolves,24,-1.11,0.47,94.6,14810
20,Atlanta Hawks,27.9,-0.85,-0.38,97.4,15959
21,Detroit Pistons,25.4,-1.12,-0.17,95,15979
22,New Orleans Pelicans,25.7,-2.1,0.41,98,16173
23,Dallas Mavericks,27.6,-2.93,0.4,92.2,19789
24,Sacramento Kings,27.8,-3.88,0.58,94.9,17608
25,New York Knicks,27.3,-3.67,-0.2,96,19774
26,Phoenix Suns,25,-5.63,0.49,100.3,17134
27,Philadelphia 76ers,24.6,-5.7,-0.14,98.5,17331
28,Los Angeles Lakers,25.1,-6.88,0.58,98.5,18949
29,Orlando Magic,25.3,-6.57,-0.04,96.8,17753
30,Brooklyn Nets,26,-6.73,-0.01,101.3,15429
